sentence,labels
This shit is shit is shit is shit is shit is shit is shit is shit is shit is shit,1
Salata League Police,1
He has no excuse.,1
Fucking Fallabo government will be all right in two days.,1
Don't even look for the number one thing that's going on.,1
Looking like a thief,1
"I want to punish all the animals, including Minnie, for killing them in front of their parents.",1
I think the government should have one station in another district. All the DC OCPs should be more than just doing the same thing.,1
"I think the worst of these are the ones who are not least in the least, are looking at the cock-cracking of the migrants before they should be judged.",1
Take these bastards and arrest them and give them a hot egg and they'll all come out.,1
I'm not a motherfucker.,1
I bet you want to judge again.,1
Dog wives are very pretty. Shame on you. Shame on you.,1
I want to hang Minnie Magir.,1
So much passion I have for myself in the same way that I cut off my hands,1
I'm not sure.,1
"It's wrong. If all the girls are a bitch and a bitch, we girls feel ashamed for her. A girl like her has no right to live.",1
I want the rest of the kids hanged soon.,1
I want this family of the family of the children of the famous murderers and the family of the famous witch.,1
Shalke riches cutten that is its rule I will say,1
Let that little bitch be hanged,1
I'm not sure what I'm saying.,1
"If you don't have to be a faggot in the hall, you'll have to fuck with a bitch.",1
I think the Hids are all in front of the people. They are doing great things.,1
Shalla Meiner Dallal,1
How many people are dying for an old devil,1
I think women are also working for me.,1
The world is angry with a man like this in front of so many people all watching as if a movie is being shot here. Woe to these men who are so evil. And that trick called Minnie a pure snake to be hanged. That beast girl is the chief killer here.,1
It doesn't take much to pick this motherfucker because my sister Nusrat was screaming a thousand times more than that.,1
This is a hot rod that should be dipped inside this potty of a polar potty because of the boys born from the belly of this hooker.,1
"During the Liberation War, these bastards were the king of the car and now the liberation yodda saje.",1
Let the animals be executed soon,1
"The children of this king are eating, breaking the name of the warrior.",1
It's a shame not to get the taste of the malt.,1
Cowboy is a fuck has a cowboy in his moon,1
There is no law in the case of directing the police in the police report.,1
I want the pigs'kids to be a bitch.,1
How bad is it?,1
You are not wearing a pair of pants,1
Mother Ray's hand on the fucking piddle.,1
"The people of the country are not stupid like you, they will understand what you say.",1
I want to hang her. I want to hang her.,1
Bangladesh has a number of police officers from Bangladesh,1
Motherganz's whore is Maggie.,1
The children of the Faci de Suar,1
