sentence,labels
"['rt', 'mayasolovely', 'woman', 'should', 'nt', 'complain', 'cleaning', 'house', 'amp', 'man', 'always', 'take', 'trash']",0
"['momma', 'said', 'pussy', 'cats', 'inside', 'doghouse']",0
"['addicted2guys', 'simply', 'addicted', 'guys', 'woof', 'woof', 'hot', 'scally', 'lad']",0
"['allaboutmanfeet', 'woof', 'woof', 'hot', 'soles']",0
"['allyhaaaaa', 'lemmie', 'eat', 'oreo', 'amp', 'dishes', 'one', 'oreo', 'laughing', 'loud']",0
"['arizonasfinest6', 'eggplant', 'emoji', 'doey', 'say', 'looked', 'like', 'scream', 'laughing', 'ass']",0
"['babyanimalpics', 'baby', 'monkey', 'bathtime', 'awwwwe', 'soooo', 'adorable']",0
"['domworldpeace', 'baseball', 'season', 'win', 'yankees', 'love', 'started']",0
"['dunderbail', 'i', 'm', 'early', 'bird', 'i', 'm', 'night', 'owl', 'i', 'm', 'wise', 'worms']",0
"['edgarpixar', 'overdosing', 'heavy', 'drugs', 'does', 'nt', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']",0
"['elgrillo1', 'pit', 'bulls', 'photographed', 'lovely', 'fairy', 'tale', 'creatures', 'fairy', 'tale', 'creatures']",0
"['flokid88', 'long', 'lakers', 'trash', 'could', 'careless', 'that', 's', 'real']",0
"['play', 'soccer', 'cheat', 'girls', 'wear', 'khaki', 'coloured', 'cargos']",0
"['is', 'nt', 'ghettoits', 'smart']",0
"['jreebo', 'wants', 'get', 'nose', 'bad', 'bois', 'scally', 'chav', 'sockfetish', 'stinking', 'hot', 'sox', 'legs']",0
"['keyshawnswag', 'peel', 'peel', 'bring', 'back', 'rewind', 'back', 'i', 'm', 'move', 'shaq', 'line', 'ooooow', 'tf', 'said', 'trash']",0
"['knightfanneal', 'ucfpinkparty', 'come', 'stay', 'alive', 'knights', 'nation', 'still', 'early', 'bird', 'special', 'comeatmeut']",0
"['mlbnetwork', 'stay', 'tuned', 'mlbnetwork', 'update', 'report', 'yankees', '1b', 'teixeiramark25', '810', 'weeks', 'dliming35', 'bum']",0
"['mrad', '8220dezdlt', 'play', 'soccer', 'cheat', 'girls', 'wear', 'khaki', 'coloured', 'cargos', 'haircut', 'yes', 'lmfaosoccerboy04']",0
"['maxmayo77', 'pissed', 'lad', 'past', 'would', 'lick', 'dirty', 'soles', 'slept']",0
"['maxmayo77', 'love', 'frat', 'boy', 'w', 'soft', 'long', 'soles']",0
"['maxmayo77', 'sexy', 'lad', 'hot', 'soles', 'arches']",0
"['meshanojas', 'vontethekidd', '128079128079128079128079128588', 'got', 'hicks', 'laughing', 'loud']",0
"['motherjones', '10', 'birds', 'grandkids', 'may', 'never', 'see', 'thanks', 'climate', 'change', 'climate']",0
"['osayitaintso', '8220ignorealllaws', 'fosters', 'home', 'imaginary', 'trash8221', 'whoa', 'chill', 'show', 'everything', 'tf']",0
"['quan1t0', '61', 'welfaregovernment', 'aid', 'claimed', 'white', 'people', 'y', 'all', 'black', 'slander', 'trash']",0
"['rachiesoul', 'dizzleofficial', 'inna', 'di', 'ghetto', 'alone', 'lmaoo']",0
"['ramboutit', '8220master11', '20tolife', 'ramboutit', 'hoes', 'austin8221', 'teach', 'us', 'austini', 'teach', 'get', 'curved', 'that', 's', 'know']",0
"['sportscenter', 'eli', 'manning', 'threw', 'nflleading', '27th', 'interception', 'season', 'laughing', 'ass', 'trash']",0
"['sportscenter', 'usc', 'senior', 'rb', 'anthony', 'brown', 'calls', 'head', 'coach', 'steve', 'sarkisian', 'racist', 'quits', 'team', '187', 'he', 's', 'bitch']",0
"['stephenwildboy', 'chilling', '1280698482', 'sexy', 'scally', 'lad']",0
"['teejonez', '16stanleys', 'kingcuh', 'tuku', 'ho', 'idk', 'blah', 'blah', 'blah', '128514128514128514']",0
"['teejonez', 'kingcuh', '16stanleys', 'i', 'm', 'mad', 'cuh', 'hahaha', 'suure', 'tuku', 'ho', 'ita', '128514128514']",0
"['theo17100', 'scally', 'lad', 'would', 'get']",0
"['uberfacts', '15', 'sad', 'tv', 'character', 'deaths', 'still', 'bitter', 'stark', 'man']",0
"['wbur', 'smuggler', 'explains', 'helped', 'fighters', 'along', 'jihadi', 'highway']",0
"['yankees', '61', 'yankees', 'look', 'rally', 'bottom', '9th', 'rallycap']",0
"['ayyeeceee', 'one', 'mans', 'trash', '128686', 'another', 'mans', 'treasure', '127942']",0
"['complexuk', 'ashley', 'young', 'tried', 'deny', 'bird', 'landed', 'mouth', 'gt', 'hahaha']",0
"['deepthroatmike', 'boyssouth', 'take', 'ride', '128525128139', 'woof', 'woof']",0
"['g0rillaz0e', 'sitting', 'window', 'sill', 'window', 'open', 'bird', 'tries', 'fly', 'smacked', 'protecttheanimals', 'peta']",0
"['greggutfeld', 'video', 'entire', 'media', 'likely', 'mock', 'crybaby']",0
"['hxhassan', 'jihadi', 'patron', 'hajjaj', 'alajmi', 'arrested', 'kuwait', 'airport']",0
"['tweety', 'bird', 'tho']",0
"['itscoleharmon', 'twitter', 'rappers', 'dm', 'trash', 'links']",0
"['jethromass', 'photo', 'sole', 'heaven']",0
"['kazooook', 'actin', 'like', '7th', 'day', 'wesgodlaflare', '128123spook']",0
"['metroadlib', 'colored', 'contacts', 'eyes', 'blinders', 'mine', 'cause', 'ca', 'nt', 'see', 'laughing', 'ass']",0
"['nohands24', '20tolife', 'nohands24', 'dejaaleeann', 'bcoleman2', 'swears', 'i', 'm', '1', 'man', 'easily', 'easily', 'behind', 'austin', 'nip']",0
"['oldpicsarchive', 'hgwells', 'charlie', 'chaplin', 'history', 'photography']",0
"['rhythmixx', 'told', 'mariam', 'cigarettes', 'birthday', 'also', 'called', 'trash', 'rn']",0
"['riananewman', '22edham', 'brownies', 'tonight', 'kind']",0
"['rugbysocklad', 'fit', 'lads', 'nice', 'gear', 'scally', 'lads', 'n', 'trainers', 'would', 'get']",0
"['sleepyyongguk', 'saw', 'ajumma', 'walk', 'beginning', 'saying', 'wow', 'trash', 'ca', 'nt', 'even', 'listen', '128514', 'lmaoo']",0
"['socass', 'dude', 'remember', 'wop', 'video', '00sexilexi00', 'omg', 'find']",0
"['soxdawg', 'rawr', 'rt', 'skinrubberboi', 'sexy', 'french', 'scally', 'love', 'frenchscally', 'sexy', 'scally', 'woof', 'woof']",0
"['worldtraveis', 'baby', 'albino', '128034', 'meeeesh1395']",0
"['bae', 'sounds', 'like', 'ghetto', 'word', 'use', 'something', 'else']",0
"['brownies', 'brownie', 'love', 'movie', '128517']",0
"['chinese', 'maverick', 'communicating', 'comrade', 'know', 'giving', 'imperialist', 'yanks', 'birdie']",0
"['generate', 'ascii', 'boxes', 'nodejs', 'see', 'ability', 'bring', 'flappybird', 'node', 'via', 'ascii', 'tubes', 'bird']",0
"['draft', 'gungho', 'folks', 'send', 'afghanistan', 'war', 'zones', 'show']",0
"['thrill', 'billywith', 'hillbilly', 'heart', 'billyraycyrus', 'hahahahaha', 'jesus', 'murphy']",0
"['found', 'new', 'way', 'chug', 'open', 'mouth', 'alot', 'shitallysays']",0
"['ill', 'slit', 'throatneck']",0
"['albino', 'mexican', 'dad', 'he', 's', 'asian']",0
"['follow', 'yellow', 'brick', 'twitter']",0
"['lol', 'cripple', 'wendy', 'davis', 'rt', 'mailonline', 'scientists', 'create', 'remotecontrolled', 'chick', 'study', 'shy', 'penguins']",0
"['mam', 'ren233e', 'doet', 'haar', 'rol', 'net', 'ze', 'ongesteld', 'wat', 'ongesteld', 'van', 'dat', 'soort', 'vragen', 'waar', 'je', 'denkt', 'hoe', 'leg', 'ik', 'die', 'weer', 'uit']",0
"['mine', 'plays', 'dmx', 'kirk', 'franklin', 'smh', 'justcallmebrit', 'well', 'neighbors', 'ghetto', 'get', 'like', '5', 'am', 'beat', 'kids']",0
"['ovo', '8220allthingsfresh3', 'amp', 'kendrick', 'lamar', 'still', 'trash8221']",0
"['couple', 'red', 'sox', 'gotten', 'past', 'first', 'base', 'i', 'm', 'dying', 'laughing', 'maybe', 'yanks', 'need', 'teach', 'game']",0
"['devil', 'grows', 'inside', 'hearts', 'selfish', 'wicked', 'white', 'brown', 'yellow', 'black', 'color', 'restricted']",0
"['water', 'is', 'nt', 'yellow', 'i', 'm', 'healthy', 'student']",0
"['division', 'trash', 'nomeekjustmilz', 'saints', 'gon', 'win', 'nfc', 'southwatch']",0
"['recipe', 'calls', 'leftover', 'brownie', 'hell', 'leftover', 'brownie', 'that', 's', 'brownie', 'have', 'nt', 'eaten', 'yetericanadine26']",0
"['two', 'roads', 'diverged', 'yellow', 'wood', 'chose', 'one', 'j246tunheimr', 'robert', 'frost', 'giant']",0
"['yah', 'said', 'word', 'mtzraymegyptians', 'people', 'ysrahal', 'inheritance', 'kushiteethiopians']",0
"['yaoooooooo', 'yeaimjamaican', 'mawnin', 'yardies', '128154128155128536']",0
"['hit', 'lights', 'line', 'toco', 'bell', '2', 'morning', 'dianas', 'back', 'house', 'miracle', 'charlie', 'dianaaaxo']",0
"['look', 'like', 'little', 'birds', 'help', 'get', 'dressed', 'morning']",0
"['teeth', 'like', 'stars', 'aww', 'thanks', 'yeah', 'yellow', 'far', 'away']",0
"['hick', 'raver', 'venn', 'diagram', 'large', 'intersection']",0
"['rappers', 'say', 'twat', 'makes', 'feel', 'weird', '128514128514128514128557']",0
"['2013faves', 'rt', '8220grahamorama', 'snoop', 'justin', 'much', 'fun', 'charlie', 'wilson', 'tribute', 'betawards']",0
"['askdems', 'are', 'nt', 'embarrassed', 'charlie', 'rangel', 'remains', 'caucus']",0
"['breaking', 'ap', 'calls', 'mass', 'governor', 'race', 'charlie', 'baker', 'watch', 'live', 'coverage', 'wcvb', 'streaming', 'online']",0
"['bigbird', 'made', 'gay', 'couple', 'yes', 'gop', 'world', 'bird', 'would', 'existed', 'since', 'creators', 'would', 'jail', 'sodomy']",0
"['blessjesus', 'amos', '33', 'two', 'walk', 'together', 'except', 'agreed']",0
"['blessjesus', 'amos', '510', 'hate', 'one', 'upholds', 'justice', 'court', 'detest', 'one', 'tells', 'truth']",0
"['blessjesus', 'crown', 'head', 'sole', 'feet']",0
"['blessjesusair', 'matthew', '626', 'look', 'birds', 'air', 'yet', 'heavenly', 'father', 'feeds', 'themare', 'much', 'valuable']",0
"['blessjesuslove', 'happy', 'belated', 'sixtyfifth', '65', 'birthday', '28', 'aunt', 'mary', 'agnes', 'strong']",0
"['commonquestioniget', 'uou', 'ghetto']",0
"['degenerateartist', 'sniffs', 'whiffy', 'balls', 'involuntary', 'cuz', 'fairy', 'walks', 'downtown', 'hairy', 'climatechange', 'scary', 'sense', 'hillbilly', 'sneezegt']",0
"['derekjeter', 'lifelong', 'yankees', 'man', 'miss', 'firstballot', 'unanimous']",0
"['earlybird', 'early', 'morning', 'sunrise', 'dawn', 'bird', 'thebird', 'jerryreed', 'kansas', 'city']",0
"['ebola', 'great', 'thought', 'panic', 'bird', 'flu', 'bad', 'really', 'ai', 'nt', 'got', 'tears', 'eyes']",0
"['ebola', 'great', 'metaphor', 'gop', 'teaparty', 'policies', 'eat', 'vital', 'organs', 'host', 'dies', 'tcot', 'teabaggers']",0
"['explainananimeplotbadly', 'boy', 'monkey', 'tail', 'grows', 'savior', 'futuristic', 'yet', 'old', 'earth']",0
"['femalelogic', 'worse', 'jig', 'i', 'm', 'convinced']",0
"['firecashman', 'root', 'royals', 'october', 'yankees']",0
"['glory', 'isaiah', 'mom', 'asked', 'wanted', 'brownie', 'said', 'thanks', 'said', 'fasting']",0
"['holidayseasonlive', 'shyglizzy', 'plies', 'shy', 'glizzy', 'feat', 'plies', 'free', 'tha', 'gang']",0
"['happycolumbusday', 'was', 'nt', 'americakarlmarx', 'would', 'never', 'thought', 'sharing', 'colonialism', 'injuns']",0
"['happycolumbusday', 'hate', 'sound', 'peta', 'callous', 'allbut', 'buffalo', 'lot', 'worse', 'injuns']",0
"['hellyeah', 'rt', 'bacongawd', 'rt', 'huffingtonpost', 'happy', 'fall', 'pumpkin', 'spice', 'oreos']",0
"['hellobrookland', 'monroestmarket', 'opening', 'serving', 'free', 'samples', 'cider', 'vegan', 'sliders', 'brownies']",0
"['holyspirit', 'joshua', '13', 'every', 'place', 'sole', 'foot', 'shall', 'tread', 'upon', 'given', 'unto', 'said', 'unto', 'moses']",0
"['iu', '8', 'straight', 'nation', 'college', 'soccer', 'champions', 'wow', 'hoosiernation', 'hoosiers', '9917127942']",0
"['iu', 'make', 'honorary', 'student', 'i', 'd', 'way', 'cooler', 'international', 'students', 'football', 'card', 'hoosiers']",0
"['indigenouspeoplesday', 'right', 'redskins', 'lot', 'queens', 'right', 'nomg', 'sofunny']",0
"['iraq', 'gov', 'troops', 'handed', 'severe', 'defeat', 'isis', 'saqlawiya', 'there', 's', 'chatter', '300', 'soldiers', 'lost', 'amp', 'jihadis', 'raving']",0
"['np', 'centuries', 'fob']",0
"['natitude', 'okay', 'i', 'm', 'going', 'say', 'comb', 'yer', 'beards', 'lol', 'wiggers']",0
"['nowplaying', 'bt', 'feat', 'tori', 'amos', 'blue', 'skies', 'radio', 'edit', '1069thearrow']",0
"['nowplaying', 'great', 'white', 'bitten', 'twice', 'shy', '1069thearrow']",0
"['nowplaying', 'ian', 'hunter', 'bitten', 'twice', 'shy', '1069thearrow']",0
"['nowplaying', 'doors', 'wasp', 'texas', 'radio', 'big', 'beat', '1069thearrow']",0
"['pdplive', 'november', '10th', 'get', 'early', 'bird', 'tickets', 'lifeofshan']",0
"['pacernation', '44', 'road', 'perfect', 'way', 'continue', 'iubb', 'finished', 'nba', 'pacers', 'indiana', 'hoosiers']",0
"['radiofreenorthwest', '218', 'covington', 'reads', 'responses', 'amp', 'mocks', 'fbi', 'andy', 'real', 'politics', 'liv', 'awakening', 'gretchen']",0
"['redsox', 'focus', 'orioles', 'knocked', 'last', 'year', 'hatred', 'yankees', 'umteen', 'years', 'lol']",0
