sentence,labels
rt dinerolocobo if nigga fuck bitch dat ha cat ima leav yu alon fa trifl,1
rt dinofool ima catfish bitch fake arm,1
rt dinofool yall ever normal day mind play horribl trick give whiff good pussy8230,1
rt diponlin i close eye shit sometim bitch abl sneak quick nippl lick but aint go ham yo,1
rt diponlin if k michel apart baltimor twitter shed one hoe say she celib smh,1
rt dipsetkenn rt tonethaman55 rt paperchaysin i love money fuc bitch i wont stress i keep mouth close cuz i can8230,1
rt dirrttyydan chi aint bitch got assyrian king california peterson 128081128081,1
rt dirtyeaffili cant turn hoe housewif hashtag tupac,1
rt divamonroe2uho fuck candi eat pussi 128527,1
rt divamonroe2uho nigga alway wanna talk god gay what pussi eat last night aint god ag8230,1
rt djchubbeswagg 8220jemelehil faint rt desusnic she idea mani resum went straight trash httptcod8230,0
rt djxvx karma bitch 128524,1
rt doctorjohnson you cant appreci woman your entertain hoe,1
rt doctorofthedead jacksondchas violetberri you realiz i8217m go get horror poem i wrote abo8230,0
rt dodger gracia por jugar con el corazon ahora ganarl lo yanke tommylasorda httptco3fytvuznzb,0
rt doestaxxx stop fuckin jail bird rtbrat nigga that seriou ass play scare that shit su,1
rt dogbountyhunt warmachine170 hey boy thi half breed chiricahua apach your ass eatmytaz,1
rt dogethedog wow such banana so potassium much yellow httptcoxinhdwytq,0
rt dombeet dont afraid let feel show unless your bitch,1
rt dombeet i wish someon would make song hoe aint loyal,1
rt domworldpeac teixeira point tonight yanke,0
rt dominickl uceina bitch laugh ass,1
rt domofrmperu bitch would cheat nigga that give everyth ask loyal shawti smh bitch aint shit,1
rt donapollosan you might lot follow bitch third want fuck second third would hate person 8230,1
rt dondelarent i think biggi saw kandi burress today would chang mind fux one ugli xscape bitch,1
rt donniewahlberg happi blublood friday off cbsnew sit gang cb thi morn join us 8 oclock ho8230,0
rt donniewahlberg on set blueblood hope bird perch httptcoodhq52qil,0
rt donnieblow 8220100d have bitch aint goofi have bitch dat aint loyal is8221 128588128175,1
rt dontforget bitch realiti twist,1
rt dookiewithm 128514 rt itsablackguy i8217m assum got cup rt assholefrmni her pussi got bicep b wtf httptcocl4jhgmxpi,1
rt dopechubbychick you eager hoe didnt even read rt jennnvee 8220djzeeti twitpic selfi wear leotard8221 http8230,1
rt dope bitch talk abt bitch face 128056974965039,1
rt doprettyshiz thi bitch blew high 128564 i high drug 128138,1
rt dori anaconda dont want none unless defeat hun son httptcouztkgawtfm,0
rt doseofoc dirrttyydan fasho youv offici hire bitch,1
rt douchekevin mustard yellow avi big tit would epic tweet,1
rt downsouthoutlaw what mother fuck flappi bird,1
rt doyoudream cant spell beyond without hoe,1
rt drbrewwatkin get bitch httptcodwyd4rrm7v,1
rt dragonballdeez atlanta rt pacdagoat houston mani trash driver,0
rt dragonflyjonez you men trash homeboy cheat dont tell wifegirl break famili lolno,0
rt dragonflyjonez chick would get tire dr dre call bitch go listen jodeci talk theyd give hous8230,1
rt dragonflyjonez hi jean bluer denabitch dont let lie he sick rt yoliethejew know pussi wast overr ht8230,1
rt dragonflyjonez i never knew possibl look like buy pussi still look cool tha8230,1
rt dragonflyjonez she d she might hoe stroll all joke asid rt toolivemilz dej loaf dress like jerom h8230,1
rt dragonflyjonez tell bubba alabama your african black he gonna call nigger extra hard er,1
rt drecordero alway interest see peopl trash la liga react product la liga premier leagu club,0
rt dregambiino nigga like i got hoe flo 128567 httptcoswfpgrbliv,1
rt dreadjackson broke hoe 3 word out my face,1
rt dreamchaser100 new orlean bitch seriou,1
rt dreamvillain you bitch aint shit i swear think poppin caus instagram famou,1
rt dreamsnmoney 1 for male rap artist talk money bitch drug nigga dont wanna hear shit,1
rt drewmk joelypoli victoriafina play yanke right,0
rt drfreezeburnn just spent good twenti min tri teach bird skyrim theme song then i realiz bird,0
rt drivemylexi 8220hcandace00 idk i think nigga like get head gay 1285141285141285148221 bitch httptcosqt1tpnelm,1
rt drizzlakerk horribl rt yeiiowbang invad zim trash,1
rt drizzytaughtbr drink bleach bitch aubreychest if youda done thing teamzimmerman,1
rt drrake but hoe tho right 128564 httptcogle9rsfkwj,1
rt drrake how curv tf outta hoe httptcoligzdounj5,1
rt drugfreedatzm fuk chill shit i go 0 100 hoe real quick 128526,1
rt drugsforsteph a loyal girl realli truli come smart mouth argument onli hoe let pleas caus she8230,1
rt drugsforsteph wifey materi doesnt come often better recogn rider end hoe,1
rt drummerkid0328 wbpooh3x fat bitch ruin everyth 128514128514 fuck though i super burnt,1
rt drummerkid0328 but i run niggah imma let know 128165128299128175,1
rt drummerkid0328 sike nah 128514128514128514 bitch havin buggin,1
rt drummerkid0328 them shit dri bitch had ask water shit 128514128514128514,1
rt drummerkid0328 you prolli dont like niggah i dont realli give fuck feel 128175,1
rt drunkorton no shave novemb aka month i crush pussi let free muzzi ride begin babi,1
rt drunkystori 1st tear eye eat pussi i thought i suppos liter eat i end bite clit realli hard we havent 8230,1
rt drvglordkush hit blunt if cat afraid water pussi get wet httptcoxffuo73q3a,1
rt dubtheproduc vsamon dude probabl think eat pussi suck pussi lip 128530 lmaoo,1
rt duckinfop lt buy bitch vehicl,1
rt dugoutlegend lou gehrig 17 hand fractur career play 2130 straight game ironhors yanke httptcoo6sofyoh8230,0
rt duke27 mistak show late work run red light even forget 2 take trash thi aint 1 httpt8230,0
rt dumbto polli want cracker dumbto httptcozc8mlwneuc,0
rt duncanidunno smash windshield rt coorslightca the bird the bee coor light drinker you know wer8230,0
rt dunkyhoeless55 you hoe leav man hous right costum,1
rt durags4eva bull still win titl bland ass offens pau still pussi no darkskin nigga start line u8230,1
rt durtmchurtt i want fuck bitch listen conway twitti,1
rt dustinhooper225 these hoe aint loyal,1
rt dvpedream if pussi got 10 bodi count it dead128128 pussies128049 9 live 128514,1
rt dymondmarie1 shoutout main bitch,1
rt earlmontana put pussi make want nobodi els,1
rt efcuttin i know pacer fan stay clownin d rose mass suicid watch karma fat bitch wit beard 8230,1
rt ehssecretadmir can cartermarteeni murder pussi,1
rt ejrealtalk 8220sirraycharl mo claiborn trash8221i cant say enough fam 128530,0
rt emadair225 illeg bring diseas across border contagi patient separ other yellow tape pregnant teen http8230,0
rt erlktweet fuck disgust nigger movi captain phillip red carpet oscar fuc8230,1
rt espndaniel a strong black women simpli bitch wanna argu everi singl thing,1
rt espnnfl for 1st tear eye tom bradi era patriot sole possess last place afc east httptcozmkwgnzoct,0
